file,title,issuer
01-google-cybersecurity.png,Google Cybersecurity Professional,Google
02-teachnook-cybersecurity.png,Teachnook Cybersecurity Intern,Teachnook
03-edunet-cybersecurity.png,Edunet Cybersecurity Intern,Edunet By IBM
04-owasp-apisec-cybersecurity.png,Owasp Apisec Cybersecurity,APISec
,,
01-owasp-api-security-top-10-badge.png,Owasp Api Security Top10 Badge,APISec
02-leetcode-100days-badge.png,Leetcode 100Days Badge,Leetcode
,,
01-tata-jobsim.png,TATA Job Simulation Cybersecurity,"TATA, Forage"
02-datacom-jobsim.png,Datacom Job Simulation Cybersecurity,"Datacom, Forage"
03-deloitte-jobsim.png,Deloitte Job Simulation Cybersecurity,"Deloitte, Forage"
04-mastercard-jobsim.png,Mastercard Job Simulation Cybersecurity,"Mastrecard, Forage"
